Job title,Company,location,job type
Senior Data Scientist,Wakeb Data -,"Mohandessin, Giza, Egypt ",Full Time
Electrical Technician,MPH -,"Dubai, United Arab Emirates ",Full Time
Project Manager,VML -,"Riyadh, Saudi Arabia ",Full Time
Senior Software Engineer,Core42 -,"Dubai, United Arab Emirates ",Full Time
Internship - Housekeeping - February 2024,Centro Hotels by Rotana -,"Dubai, United Arab Emirates ",Full Time
Data Center Technical Manager - ME,Eaton -,"Dubai, United Arab Emirates ",Full Time
Projects Planning Manager-HBS,"Honeywell International, Inc. -","Cairo, Egypt ",Full Time
Senior Lead - Investment Advisory- Private Banking,Emirates Islamic -,"Dubai, United Arab Emirates ",Full Time
Product Manager,Core42 -,"Dubai, United Arab Emirates ",Full Time
Project Coordinator,Voli Hal Knowledge -,"Riyadh, Saudi Arabia ",Part Time
"ICT Teacher (IGCSE/AS and A -Level/Cambridge) for School in Doha, Qatar",Guardian Jobs -,"Doha, Qatar ",Full Time
Implementation Specialist,DXC.technology -,"Cairo, Egypt ",Full Time
OCONUS Project Management I Country Manger-Kuwait,Comtech Telecommunications -,"Kuwait City, Kuwait ",Full Time
Digital Data Modelling Sr. Director,Michael Page -,"Riyadh, Saudi Arabia ",Full Time
Solution Expert - SAP Security & GRC HANA,Al-Futtaim -,"Dubai, United Arab Emirates ",Full Time
Software Engineer with React Native,Outvise -,"Dubai, United Arab Emirates ",Freelance / Project
Cloud Architect - Infrastructure,G42 -,"Dubai, United Arab Emirates ",Full Time
Operational Excellence Executive | Automotive | Global Aftersales,Al-Futtaim Automotive - الفطيم للسيارات -,"Dubai, United Arab Emirates ",Full Time
Hardware Designer - Combat Systems (UAE National Only),ARENGY -,"Dubai, United Arab Emirates ",Full Time
Rail Systems Assessor (ISA) - GCC Region,ewi recruitment -,"Dubai, United Arab Emirates ",Full Time
"Process & Compliance Manager | Retail | IKEA RSO | Jebel Ali, Dubai",Al-Futtaim -,"Dubai, United Arab Emirates ",Full Time
Sales Manager- Government and GCC,Minor Hotels -,"Dubai, United Arab Emirates ",Full Time
Product Training Manager,Bayut.com -,"Dubai, United Arab Emirates ",Full Time
Senior Product Manager,Core42 -,"Dubai, United Arab Emirates ",Full Time
Senior Software Engineer Team Lead,PROJECX -,"Cairo, Egypt ",Full Time
Quality Engineer,Xylem -,"Cairo, Egypt ",Full Time
Product Manager - Leading Satellite Company,Robert Walters -,"Riyadh, Saudi Arabia ",Full Time
Architect (ATC),Virtusa -,"Dubai, United Arab Emirates ",Full Time
CEDU - Adjunct Faculty - Physics,The American University in the Emirates (AUE) -,"Dubai, United Arab Emirates ",Part Time
SIEM / SOAR Automation Engineer,CodiLime -,"Cairo, Egypt ",Freelance / Project
SAP EWM Project Manager,Modis -,"Dubai, United Arab Emirates ",Full Time
SAP Ariba/Coupa Project Manager,Modis -,"Dubai, United Arab Emirates ",Freelance / Project
React.js Frontend Developer,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Microsoft 365 Engagement & Adoption Lead,Mark Williams Recruitment -,"Dubai, United Arab Emirates ",Full Time
Internship - Food & Beverage - February 2024,Arjaan Hotel Apartments by Rotana -,"Dubai, United Arab Emirates ",Full Time
Network Resilience Manager,Keolis.MHI -,"Dubai, United Arab Emirates ",Full Time
Assistant Sustainability Consultant (UAE National),Turner & Townsend -,"Dubai, United Arab Emirates ",Full Time
IT Capability Coach,Emirates -,"Dubai, United Arab Emirates ",Freelance / Project
Offshore Medic,Oil and Gas Job Search Ltd -,"Dubai, United Arab Emirates ",Full Time
Senior Architect,Archcorp Architectural Engineering -,"Dubai, United Arab Emirates ",Full Time
Engineering Assistant at InterContinental Ras Al Khaimah Mina Al Arab Resort & Spa,IHG Hotels & Resorts -,"Ras al-Khaimah, United Arab Emirates ",Full Time
Data Modeler,Presight -,"Dubai, United Arab Emirates ",Full Time
Senior ERP MS Dynamics 365 Consultant,Rawabi United Safety Services Company Limited (RUSS) -,"Riyadh, Saudi Arabia ",Full Time
Integration and Test Engineer,Thales -,"Dubai, United Arab Emirates ",Full Time
Senior Engine Programmer - Console,Games Factory Talents | Connecting Passion & Talent -,"Riyadh, Saudi Arabia ",Full Time
Oriental Chef,Rayhaan Hotels & Resorts -,"Riyadh, Saudi Arabia ",Full Time
Senior Finance Analyst,WSP in the Middle East -,"Dubai, United Arab Emirates ",Full Time
Head of IT Business Services,DSV - Global Transport and Logistics -,"Tabuk, Saudi Arabia ",Full Time
IP & Tech lawyer,Robert Walters -,"Riyadh, Saudi Arabia ",Freelance / Project
Senior Piping Designer,Worley -,"Riyadh, Saudi Arabia ",Full Time
Principal Engineer - Water,WSP in the Middle East -,"Riyadh, Saudi Arabia ",Full Time
Senior Wind Energy Consultant,Worley -,"Riyadh, Saudi Arabia ",Full Time
BID - Maintenance Manager - SAU (f/m/d),Deutsche Bahn -,"Riyadh, Saudi Arabia ",Full Time
IT Systems Officer (Saudi National) - Riyadh Campus - Required Immediately,British International School Riyadh (BISR) -,"Riyadh, Saudi Arabia ",Full Time
Senior Consultant - Environment and Sustainability,WSP in the Middle East -,"Riyadh, Saudi Arabia ",Full Time
IT Systems Administrator,TetherView -,"Cairo, Egypt ",Full Time
Senior Architectural Designer,Worley -,"Riyadh, Saudi Arabia ",Full Time
Application Engineer,"Nalco Water, An Ecolab Company -","Riyadh, Saudi Arabia ",Full Time
Senior Services Sales Specialist,GE Renewable Energy -,"Riyadh, Saudi Arabia ",Full Time
"GTM Consultant, Saudi Arabia",Circles -,"Riyadh, Saudi Arabia ",Full Time
Product Owner (Safety Barrier Degradation Monitoring Tool),Oil and Gas Job Search Ltd -,"Doha, Qatar ",Part Time
Principal Instrumentation Engineer,Worley -,"Doha, Qatar ",Full Time
Project Controls Lead,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
Senior Software Quality Assurance,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
SENIOR PROJECT MANAGER,Duncan & Ross -,"Doha, Qatar ",Full Time
.Net Team Lead,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
"Senior I / Senior II, Embedded Systems, (RTOS)",Arrow Electronics -,"Cairo, Egypt ",Full Time
Mobile Developer,Aramex International -,"Cairo, Egypt ",Full Time
Senior Instrumentation Engineer,Worley -,"Cairo, Egypt ",Full Time
Service Delivery Manager,Viasat -,"Riyadh, Saudi Arabia ",Full Time
Painter,Grand Hyatt -,"Doha, Qatar ",Full Time
Senior Sourcing Manager,Robert Walters -,"Dubai, United Arab Emirates ",Full Time
Senior Product Manager,Moove -,"Dubai, United Arab Emirates ",Full Time
Sourcing Lead,TechnipFMC -,"Dubai, United Arab Emirates ",Full Time
Senior Project Manager - Riyadh,Celfocus -,"Cairo, Egypt ",Full Time
Project Manager - Health Safety,SGS -,"Abu Dhabi, United Arab Emirates ",Full Time
IT Operations Technician,C3EL -,"Kuwait City, Kuwait ",Full Time
Cabling Infrastructure Technican,C3EL -,"Kuwait City, Kuwait ",Full Time
Team Leader - Front Office,Grand Hyatt -,"Doha, Qatar ",Full Time
Network Engineer,C3EL -,"Kuwait City, Kuwait ",Full Time
Front Desk Agent,Rosewood Abu Dhabi -,"Dubai, United Arab Emirates ",Full Time
Simulator Support Engineer (JV01),CAE -,"Dubai, United Arab Emirates ",Full Time
Tax and Accounting Associate,Talent Higher -,"Dubai, United Arab Emirates ",Full Time
Domain Expert,Ericsson -,"Cairo, Egypt ",Full Time
Compliance Lead,Robert Walters -,"Dubai, United Arab Emirates ",Full Time
"Engineer, Reliability",ADNOC Group -,"Dubai, United Arab Emirates ",Full Time
Program “SHINE” – Development Program for People with Disabilities,Procter & Gamble -,"Cairo, Egypt ",Full Time
Duty Engineer,Centro Sharjah -,"Sharjah, United Arab Emirates ",Full Time
Technician - Mechanical,MenaBev Jobs -,"Jeddah, Saudi Arabia ",Full Time
Systems Engineer-(copy),Giza Arabia -,"Riyadh, Saudi Arabia ",Full Time
Technician - Electrical,MenaBev Jobs -,"Jeddah, Saudi Arabia ",Full Time
Quality Assurance Lead,MenaBev Jobs -,"Jeddah, Saudi Arabia ",Full Time
Assistant IT Manager (AY 24-25),ASCS Nad Al Sheba -,"Dubai, United Arab Emirates ",Full Time
Architectural Designer Level II,Worley -,"Riyadh, Saudi Arabia ",Full Time
Business Central Implementation Specialist,Coca-Cola Arena -,"Dubai, United Arab Emirates ",Full Time
Associate Lead - Advanced Analytics & Strategy Development,Robert Walters -,"Dubai, United Arab Emirates ",Full Time
Analyst-People Services,KPMG Lower Gulf -,"Dubai, United Arab Emirates ",Full Time
Consultant-People Services,KPMG Lower Gulf -,"Dubai, United Arab Emirates ",Full Time
Information Security Analyst,Al-Futtaim -,"Dubai, United Arab Emirates ",Full Time
UX Writer,VML -,"Riyadh, Saudi Arabia ",Freelance / Project
Independent Wealth Manager,Venley Capital -,"Dubai, United Arab Emirates ",Full Time
Functional Consultant (Mid Market and Corporate)- Turkish Speaker,Odoo -,"Dubai, United Arab Emirates ",Full Time
Senior Smart City Architecture Leader,Outvise -,"Riyadh, Saudi Arabia ",Freelance / Project
Head of Culture and Analytics,Robert Walters -,"Riyadh, Saudi Arabia ",Full Time
Unity3D SDK Engineer- Fully Remote ????,Yodo1 Games -,"Cairo, Egypt ",Full Time
Designer,Hill & Knowlton -,"Riyadh, Saudi Arabia ",Full Time
"Project Control Manager (travel to Sohar, Oman)",Faze 3 Consulting -,"Dubai, United Arab Emirates ",Full Time
"Project Specialist, dnata Airport Operations",Emirates -,"Dubai, United Arab Emirates ",Full Time
Cluster Talent & Culture Manager,Hotel Chadstone Melbourne MGallery -,"Dubai, United Arab Emirates ",Full Time
Senior Officer – Enterprise Systems,Atribs Metscon -,"Dubai, United Arab Emirates ",Full Time
RESIDENT ENGINEER,Duncan & Ross -,"Dubai, United Arab Emirates ",Full Time
"Strategic Vendor Support - Electronics ( One year contract), CE - Electronics",Souq.com for E-Commerce LLC - G32 -,"Cairo, Egypt ",Full Time
Functional Consultant (Mid Market and Corporate),Odoo -,"Cairo, Egypt ",Full Time
Director- GTB FI Network Management,First Abu Dhabi Bank (FAB) -,"Dubai, United Arab Emirates ",Full Time
"Science Teachers - Abu Dhabi, WORLDTEACHERS",Guardian Jobs -,"Dubai, United Arab Emirates ",Full Time
"Project Specialist, dnata Airport Operations",dnata -,"Dubai, United Arab Emirates ",Full Time
Senior Credit Controller,Robert Walters -,"Riyadh, Saudi Arabia ",Full Time
Solutions Engineer- Remote,BeyondTrust -,"Riyadh, Saudi Arabia ",Full Time
Senior Resident Engineer - Architecture,Jacobs Technology Inc. -,"Riyadh, Saudi Arabia ",Full Time
Software Engineer,ABANA Enterprises Group Co -,"Riyadh, Saudi Arabia ",Full Time
Bidding & Contracts Senior Specialist/Executive,SGS -,"Cairo, Egypt ",Full Time
Airfield Engineering Design Manager,Jacobs Technology Inc. -,"Dubai, United Arab Emirates ",Full Time
Software Engineering IC4,Microsoft -,"Cairo, Egypt ",Full Time
ISMS (Information Security Management System) Auditor,SGS -,"Cairo, Egypt ",Full Time
"Program Manager - Payments, AMZL MENA ACES",Q Tech General Trading LLC -,"Dubai, United Arab Emirates ",Full Time
Technology Innovation Manager,Michael Page -,"Riyadh, Saudi Arabia ",Full Time
Senior Coastal Engineer/Project Manager,Jacobs -,"Dubai, United Arab Emirates ",Full Time
Senior Dot NET/OutSystems developer,Emaratech -,"Dubai, United Arab Emirates ",Full Time
"Senior Officer , IT Infrastructure Operations",Atribs Metscon -,"Dubai, United Arab Emirates ",Full Time
Fashion Consultant - Level Shoes Dubai Mall (Em... RETAIL & DISTRIBUTION · Dubai,Chalhoub Group -,"Dubai, United Arab Emirates ",Full Time
Data and Reporting Analyst,Help AG -,"Dubai, United Arab Emirates ",Full Time
Field Operator III- Wireline,Weatherford -,"Kuwait City, Kuwait ",Full Time
Microsoft Dynamics Business Central Implementation Specialist,Blue Line Middle East -,"Dubai, United Arab Emirates ",Full Time
Project Manager - Payments,VAM Systems -,"Dubai, United Arab Emirates ",Full Time
Technical Project Manager / Business Analyst – Cards,VAM Systems -,"Dubai, United Arab Emirates ",Full Time
Enterprise Architect - Banking,VAM Systems -,"Dubai, United Arab Emirates ",Full Time
Accounts Payable Team Lead,Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time
Electrical Technician,Energy Jobline -,"Dubai, United Arab Emirates ",Full Time
Model of Wellness & Care Design Manager,Energy Jobline -,"Riyadh, Saudi Arabia ",Full Time
QC Engineer,Blackstone eIT -,"Cairo, Egypt ",Full Time
Consultant - Fashion - Swarovski - Khobar - Dammam RETAIL & DISTRIBUTION · Khobar,Chalhoub Group -,"Dubai, United Arab Emirates ",Full Time
CTO,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Cyber Security Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Information Security Vulnerability Analyst,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Database Administrator,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Network and Security Team Leader,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Digital Business Analyst,UHRS -,"Dubai, United Arab Emirates ",Full Time
Application Executive/Specialist – Hematology & Biochemistry,Zahrawi Group -,"Jeddah, Saudi Arabia ",Full Time
Project Control Manager (Project Manager) |Project Management| Saudi Arabia,Colliers International -,"Riyadh, Saudi Arabia ",Full Time
Service Engineer - Western Zone,Zahrawi Group -,"Jeddah, Saudi Arabia ",Full Time
Logistics Team Leader,Ecolab -,"Riyadh, Saudi Arabia ",Full Time
Project Manager - Saudi,Juniper Networks -,"Riyadh, Saudi Arabia ",Full Time
Design Engineer - Fire Alarm systems - ELV (Extra Low Voltage),Naffco -,"Dubai, United Arab Emirates ",Full Time
Senior .Net Developer,52nd Solution  -,"New Cairo, Cairo, Egypt ",Full Time
Senior Salesforce Engineer,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
Project Coordinator,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
Experienced Angular Developer for ERP SaaS Solution (Remote),Confidential -,"New Heliopolis, Cairo, Egypt ",Full Time
Business Process Reengineering Senior Specialist for Digital Transformation in Banking,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
"Lead, Cloud Operations Engineer",Kyndryl -,"Riyadh, Saudi Arabia ",Full Time
Senior DCS Service Engineer,Energy Jobline -,"Riyadh, Saudi Arabia ",Full Time
"Program Coordinator, Special Projects MEA (based in Riyadh)",IE Business School -,"Riyadh, Saudi Arabia ",Full Time
Chief Mechanic,Atlas Professionals -,"Doha, Qatar ",Freelance / Project
Security Officer,IHG Hotels & Resorts -,"Doha, Qatar ",Full Time
Network Engineer – Journeyman,CP Marine LLC -,"Kuwait City, Kuwait ",Full Time
Runner,MBC Group -,"Cairo, Egypt ",Full Time
Aftersales Field Force Assistant Manager,Nissan Motor Egypt -,"Cairo, Egypt ",Full Time
IT Sales graduate (Based In Riyadh),Veritas Technologies LLC -,"Riyadh, Saudi Arabia ",Full Time
Technology PMO Analyst _VOIS,_VOIS -,"Cairo, Egypt ",Full Time
Direct Response Copywriter,Talent Disruptors -,"Dubai, United Arab Emirates ",Full Time
Junior or Associate Consultant - Energy & Utility Sector (Ajman),Black Pearl Consult -,"Dubai, United Arab Emirates ",Full Time
Pre-sales Consultant,DXC Technology -,"Cairo, Egypt ",Full Time
Civil Project Manager,Black Pearl Consult -,"Dubai, United Arab Emirates ",Full Time
Implementation Specialist,DXC Technology -,"Cairo, Egypt ",Full Time
Asset Management - ON! Track Consultant,Hilti Saudi Arabia -,"Makkah, Saudi Arabia ",Full Time
Senior Project Manager,Imploy -,"Riyadh, Saudi Arabia ",Full Time
PMO Manager,Imploy -,"Riyadh, Saudi Arabia ",Full Time
Senior Project Manager - Middle East,Celfocus -,"Dubai, United Arab Emirates ",Full Time
Senior Resident Engineer (Infrastructure),Parsons Corporation -,"Dubai, United Arab Emirates ",Full Time
Back of the House Manager,Mandarin Oriental Hotel Group -,"Dubai, United Arab Emirates ",Full Time
Financial Systems Manager,Robert Walters -,"Dubai, United Arab Emirates ",Full Time
Senior Pipeline Designer,Worley -,"Riyadh, Saudi Arabia ",Full Time
Thought Leadership Sr. Manager,Saudi Tourism Authority -,"Riyadh, Saudi Arabia ",Full Time
Sr. Backend Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Front end Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
RPA Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Servicedesk / Helpdesk Analyst,MIGRATIONIT -,"Cairo, Egypt ",Full Time
"iOS Developer, Consultant",MIGRATIONIT -,"Cairo, Egypt ",Full Time
Service Delivery Manager,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Blockchain Engineer - Web 3 Wallet - BN01,Bondex -,"Dubai, United Arab Emirates ",Full Time
Engineer- ML QA,Core42 -,"Dubai, United Arab Emirates ",Full Time
Cooker | GMG Consumer Goods,GMG -,"Dubai, United Arab Emirates ",Full Time
RESIDENT ENGINEER,Duncan & Ross Consulting -,"Dubai, United Arab Emirates ",Full Time
Data Analyst,Parsons Corporation -,"Riyadh, Saudi Arabia ",Full Time
SENIOR PROJECT MANAGER,Duncan & Ross Consulting -,"Doha, Qatar ",Full Time
Remote Python Software Specialist,Turing -,"Cairo, Egypt ",Full Time
Technical Order Manager,Giesecke+Devrient -,"Dubai, United Arab Emirates ",Freelance / Project
Analog Design Automation Engineer,Master Micro -,"Cairo, Egypt ",Full Time
Senior Mechanical Engineer,Worley -,"Riyadh, Saudi Arabia ",Full Time
Microsoft Exchange OnPrem Expert,M365Connect -,"Cairo, Egypt ",Full Time
Dotnet Developer,"Nile Bits, LLC. -","Cairo, Egypt ",Full Time
"Emerging Enterprise Sales Executive, KSA",UiPath -,"Riyadh, Saudi Arabia ",Full Time
Technology Strategy & Transformation Consultant,Accenture Middle East -,"Riyadh, Saudi Arabia ",Full Time
Senior Design Manager,Turner & Townsend -,"Tabuk, Saudi Arabia ",Full Time
OT Cybersecurity Auditor / Pentester / Specialist,BEACON RED -,"Dubai, United Arab Emirates ",Full Time
Claims Performance Lead,Allianz Partners -,"Cairo, Egypt ",Full Time
Bid Manager,Core42 -,"Dubai, United Arab Emirates ",Full Time
Head of Technical Services,Faststream Recruitment Group -,"Dubai, United Arab Emirates ",Full Time
QNB2703-Senior Associate Strategy PMO (Opportunity for Qatari Nationals Only),QNB Group -,"Doha, Qatar ",Full Time
Remote Python Data Science Professional,Turing -,"Cairo, Egypt ",Full Time
Remote Data Scientist,Turing -,"Cairo, Egypt ",Full Time
Project Coordinator,Kompi Hal Concepta -,"Kuwait City, Kuwait ",Part Time
Digital Data Analyst (Entry Level),Kompi Hal Concepta -,"Kuwait City, Kuwait ",Part Time
Customer Service Representative,Sutherland -,"Cairo, Egypt ",Full Time
Senior Engineering Manager,almentor -,"Cairo, Egypt ",Full Time
Senior Software Engineer - Android,D360 Bank -,"Riyadh, Saudi Arabia ",Full Time
Product Manager -  Web3 Wallet - BN02,Bondex -,"Dubai, United Arab Emirates ",Full Time
Corporate Financial Analyst,Robert Walters -,"Dubai, United Arab Emirates ",Full Time
Senior Tendering Engineer - EBU,Sulzer -,"Riyadh, Saudi Arabia ",Full Time
Senior Software Engineer - Java,D360 Bank -,"Riyadh, Saudi Arabia ",Full Time
IT Portfolio Manager,Emirates Islamic -,"Dubai, United Arab Emirates ",Full Time
Presales Engineer,Teknetic -,"Cairo, Egypt ",Full Time
Senior Design Manager (Water Parks),Mace -,"Riyadh, Saudi Arabia ",Full Time
"Join our Talent Network (Sales, BD, Marketing - Fintech, Startup, Technology & Consulting)",Opentap Talent -,"Riyadh, Saudi Arabia ",Full Time
Recreation Manager - Pre-Opening,Rotana Hotels & Resorts -,"Matruh, Egypt ",Full Time
Product Engineer,Siemens Digital Industries Software -,"Cairo, Egypt ",Full Time
Security Manager - Pre-Opening,Rotana Hotels & Resorts -,"Matruh, Egypt ",Full Time
Mudlogger/Data analyst Saudi Arabia,Leap29 -,"Dubai, United Arab Emirates ",Full Time
Senior Refrigeration Engineer,Almarai - المراعي -,"Riyadh, Saudi Arabia ",Full Time
Learning & Development Manager - Pre-Opening,Rotana Hotels & Resorts -,"Matruh, Egypt ",Full Time
Team Leader - Front Desk,Rotana Hotels & Resorts -,"South Sinai, Egypt ",Full Time
Front Desk Agent - Saudi national,Rayhaan Hotels & Resorts -,"Riyadh, Saudi Arabia ",Full Time
Senior Frontend Developer,Snoonu -,"Doha, Qatar ",Full Time
Senior Software Engineer (Backend),MDBee Inc. -,"Toledo, United States ",Full Time
Full Stack Software Engineer,GetPayin -,"New Cairo, Cairo, Egypt ",Full Time
React Developer,Cerebital -,"Kuwait City, Kuwait ",Full Time
Part-Time Librarian,American University of Kuwait (AUK) -,"Kuwait City, Kuwait ",Part Time
Senior Manager - Development,Nakheel -,"Dubai, United Arab Emirates ",Full Time
Senior Functional Consultant (Odoo),Outservingplus -,"Cairo, Egypt ",Full Time
Sr. Software Developer (Odoo),Outservingplus -,"New Cairo, Cairo, Egypt ",Full Time
HR Globalization Expert - Dubai,ByteDance -,"Dubai, United Arab Emirates ",Full Time
Quality Manager - Airport,Mace -,"Riyadh, Saudi Arabia ",Full Time
Software Tester,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Projects Management Leader,Honeywell -,"Cairo, Egypt ",Full Time
Business Analyst - Treasury,Virtusa -,"Doha, Qatar ",Full Time
SENIOR APPLICATION SPECIALIST,Ministry of Defense -Medical Services Directorate -,"Riyadh, Saudi Arabia ",Full Time
Retail Design/Delivery Manager/Director,Michael Page -,"Riyadh, Saudi Arabia ",Full Time
Team Leader - Guest Services,Centro Hotels by Rotana -,"Doha, Qatar ",Full Time
Software Developer,FRIDAL -,"6th of October, Giza, Egypt ",Full Time
Quality Control - Automated Testing,Confidential -,"Cairo, Egypt ",Full Time
Software Developer Team Leader(Odoo),Outservingplus -,"Giza, Egypt ",Full Time
Senior ERP Application Consultant,Rednet It Services -,"Cairo, Egypt ",Full Time
Product Owner,Progressio Solutions -,"Heliopolis, Cairo, Egypt ",Full Time
Software Developer,Rednet It Services -,"Maadi, Cairo, Egypt ",Full Time
IT Helpdesk Administrator,Presight -,"Dubai, United Arab Emirates ",Full Time
System Administrator,Siemens Digital Industries Software -,"Cairo, Egypt ",Full Time
Technical Lead- Java,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time
Maintenance Technician - Coil Tubing,Oil and Gas Job Search Ltd -,"Kuwait City, Kuwait ",Full Time
Accountant,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full Time
Senior C++ Developer,Softxpert Incorporation  -,"Alexandria, Egypt ",Full Time
Project Administrator,HALCON -,"Dubai, United Arab Emirates ",Full Time
Maintenance Technician - Coil Tubing,Brunel -,"Kuwait City, Kuwait ",Full Time
Bell Attendant,Hyatt Regency -,"Kuwait City, Kuwait ",Full Time
Customer Support Executive,dubizzle Egypt -,"Cairo, Egypt ",Full Time
ERP Manager,Eagle Chemicals -,"Heliopolis, Cairo, Egypt ",Full Time
Junior Front End Developer,Zewail City -,"6th of October, Giza, Egypt ",Full Time
Software Sales Representative,Superior Business Solutions -,"Riyadh, Saudi Arabia ",Full Time
Angular front end developer,Confidential -,"Cairo, Egypt ",Full Time
Maintenance Lead,JTI (Japan Tobacco International) -,"Cairo, Egypt ",Full Time
Projects & Tender Sourcing Specialist,GE Renewable Energy -,"Dubai, United Arab Emirates ",Full Time
Field Support Engineer,Thales -,"Dubai, United Arab Emirates ",Full Time
NEOM Project Quality Manager - Power Grid (Open),Air Products -,"Tabuk, Saudi Arabia ",Full Time
Lead Petroleum Engineer,Energy Jobline -,"Riyadh, Saudi Arabia ",Full Time
Sales Assistant | Retail | ACE Hardware YAS Island,Al-Futtaim -,"Dubai, United Arab Emirates ",Full Time
Security Officer,Palma Bay Rotana -,"Cairo, Egypt ",Full Time
Chief Security Officer / Loss Prevention Officer,Palma Bay Rotana -,"Cairo, Egypt ",Full Time
IT Manager,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Content Manager **Saudi Nationals Only**,Michael Page -,"Riyadh, Saudi Arabia ",Full Time
IT Assistant,One&Only Resorts -,"Dubai, United Arab Emirates ",Full Time
Front End Developer ( Reactjs ),Giza Systems -,"New Cairo, Cairo, Egypt ",Full Time
Monitoring & Assurance Testing Section Manager,stc -,"Riyadh, Saudi Arabia ",Full Time
GIS Developer,Wakeb Data -,"Mohandessin, Giza, Egypt ",Full Time
ERPNext Developer,CBS Comprehensive Business Services -,"Riyadh, Saudi Arabia ",Full Time
Senior Software Testing Engineer - Automation background,Trufla -,"Heliopolis, Cairo, Egypt ",Full Time
SVP - Projects Under Development (PUDs),ALDAR -,"Dubai, United Arab Emirates ",Full Time
.NET Developer,Techno Management -,"Nasr City, Cairo, Egypt ",Full Time
CTO & Startup Founder,Antler -,"Riyadh, Saudi Arabia ",Full Time
BlueTeam Content Engineer,CyberDefenders -,"Cairo, Egypt ",Full Time
Senior Landscape Architect,WSP in the Middle East -,"Riyadh, Saudi Arabia ",Full Time
Billing Support Engineer,Ericsson -,"Cairo, Egypt ",Full Time
Customer Engineer,NCR Atleos -,"Cairo, Egypt ",Full Time
Technical Proposal Specialist,Hwadi -,"Riyadh, Saudi Arabia ",Full Time
CPO & Startup Founder,Antler -,"Riyadh, Saudi Arabia ",Full Time
SAP Techno-Functional Consultant,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Linux Systems Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Mobile Developer (IOS & Android),MIGRATIONIT -,"Cairo, Egypt ",Full Time
Microsoft Dynamics Developer (CRM),MIGRATIONIT -,"Cairo, Egypt ",Full Time
Flutter Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
WordPress Developer,citPEAK -,"Cairo, Egypt ",Full Time
Sr. Database Administrator,MIGRATIONIT -,"Cairo, Egypt ",Full Time
AI/ Machine Learning Sr. Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Software Tester,MIGRATIONIT -,"Cairo, Egypt ",Full Time
React JS Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
ERP Project Manager,VAM Systems -,"Dubai, United Arab Emirates ",Full Time
. Net Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Linux Systems Administrator,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Java Engineer (Mid-Level),Robert Walters -,"Dubai, United Arab Emirates ",Freelance / Project
Python Engineer (Mid-Level),Robert Walters -,"Dubai, United Arab Emirates ",Freelance / Project
Web User Interface Developer,TheTalentPoint | Jobs in UAE & Middleeast -,"Dubai, United Arab Emirates ",Full Time
Engineer Flight Simulator - Emirates Flight Training Academy,Emirates -,"Dubai, United Arab Emirates ",Full Time
.Net Developer,Impact Technology  -,"Cairo, Egypt ",Full Time
Senior IT Administrator,Ovo Egypt -,"6th of October, Giza, Egypt ",Full Time
Senior .NET Developer Technical Lead,SalesArm -,"New Cairo, Cairo, Egypt ",Full Time
VMware Administrator,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Infrastructure Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Network Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Backend Developer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Technical Support/Help Desk,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Senior Odoo Developer,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full Time
Technical Support Analyst,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Sr. Software Testing Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Legacy Job Role,Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time
